item_id,level,rationale
A001,1,"B adds that the discovery info shapes follow-on adversary behavior, which explains purpose without covering any new checks."
A002,0,"B only drops the Detection, Platforms, Data Sources, Defense Bypassed and Permissions boilerplate; the behavioral text is identical."
A003,0,"B adds a sentence restating that the flood reduces availability, which is already implied by denial-of-service and adds no new covered behavior."
A004,0,"B only removes the Detection, Platforms, Data Sources and Permissions boilerplate and changes heading markup; behavior text is unchanged."
A005,0,B only appends an additional citation to an existing sentence with no wording change to the behavior.
A006,0,"B drops the Detection, Platforms, Data Sources and Permissions boilerplate and hyperlinks existing tool names; the described behavior is unchanged."
A007,0,"B drops the Detection, Platforms, Data Sources and Permissions boilerplate and hyperlinks an existing tool name; the described behavior is unchanged."
A008,1,"B adds an Office 365 mail-audit-disabling example, which is another instance of disabling cloud logging that A's cloud-environment framing already covered."
A009,0,"B just removes a hyperlink around the phrase impair defenses, leaving the same wording and behavior."
A010,0,"B rewords collecting local-system data as searching for files of interest and renames a linked technique, without adding or removing any covered behavior."
A011,2,"B adds disabling command-history logging via a network device CLI, a platform A never covered since A's text was scoped entirely to Linux/macOS/Windows shell mechanisms."
A012,0,B only appends a citation to the existing sentence with no wording change.
A013,0,B only retargets two internal technique links to their renamed identifiers without changing what this technique's own text describes.
A014,1,"B generalizes the description of what counts as an artifact and gives new illustrative examples like downloaded-file strings, but the core behavior of removing host-based indicators of presence is unchanged."
A015,0,"B only hyperlinks the System Firmware reference and drops the Platforms, Defense Bypassed, Permissions and System Requirements boilerplate."
A016,1,B adds Module Stomping/DLL Hollowing as another named variation of the same DLL-injection-into-a-process behavior A already framed as having multiple variations.
A017,0,B only swaps one citation label for another with no change to the described behavior.
A018,0,"B only drops the Detection, Platforms, Data Sources and Permissions boilerplate; the behavioral text is identical."
A019,0,"B only drops the Detection, Platforms and Data Sources boilerplate and hyperlinks existing technique and tool names."
A020,0,B only swaps the label of one citation with no change to the described behavior.
A021,0,"B only drops the Detection, Platforms, Data Sources and Permissions boilerplate; the behavioral text is unchanged."
A022,0,B only reorders two existing sentences with no wording change to the described behavior.
A023,0,B merges two redundant consent-phishing paragraphs into one without adding or removing any covered behavior.
A024,2,"B adds creating cloud tenant accounts and an Office 365 Global Admin example, an environment A's local-system-or-domain-account text never covered."
A025,0,B only removes a stray space before two citation markers with no wording change.
A026,0,"B only drops the Detection, Platforms, Data Sources, Permissions and System Requirements boilerplate and hyperlinks existing terms."
A027,0,"B only drops the Detection, Platforms and Data Sources boilerplate plus a comma, leaving the behavioral text unchanged."
A028,1,B adds compromising email servers to support phishing as another instance of the already-stated general scope of using compromised servers for various operational tasks.
A029,0,"B only hedges that the binaries may be digitally signed by Microsoft rather than asserting they always are, which does not change the described abuse behavior."
A030,1,"B adds specific AWS, GCP and Azure API/CLI examples that illustrate the cloud API discovery behavior A had already generically described."
A031,3,"B replaces the library-manifest hijacking mechanism and WinSxS object of A with a co-located legitimate-application/payload mechanism, redefining what side-loading denotes."
A032,0,"B only drops the Detection, Platforms, Data Sources, Defense Bypassed, Permissions, Remote Support and Contributors boilerplate and reformats a code block."
A033,1,B adds using gathered system time for a time bomb as another downstream use of the same discovery information A already described feeding into other techniques.
A034,0,B only softens will likely look for to may look for with no other wording or content change.
A035,0,"B only drops the Detection, Platforms, Data Sources and Requires Network boilerplate; the behavioral sentence is unchanged."
A036,0,B only appends a citation to an existing sentence with no wording change.
A037,0,B only fixes the spelling of a tool name from Mauraena to Muraena with no behavioral change.
A038,0,"B only drops the Detection, Platforms, Data Sources, Permissions and Remote Support boilerplate; the behavioral text is unchanged."
A039,0,"B only drops the Detection, Platforms, Data Sources and Requires Network boilerplate; the behavioral text is unchanged."
A040,0,B only retargets the Impersonation link to its renamed sub-technique identifier with no wording change.
A041,2,"B adds default accounts on network devices/appliances and using leaked private keys via Remote Services, cases A's user-or-service-credential-theft framing did not clearly cover."
A042,0,B only appends a citation to an existing sentence with no wording change.
A043,0,"B only drops the Detection, Platforms, Data Sources and Requires Network boilerplate; the behavioral sentence is unchanged."
A044,0,"B only adds a reference to the CWE top 25 alongside the OWASP top 10 as another resource list, not a new adversary behavior."
A045,3,"B replaces disabling security software, the purpose that defined A, with evading detection via unmonitored components, centering the technique on concealment rather than defeating a control."
A046,2,"B removes the delaying-execution behaviors entirely and keeps only the time-based sandbox checks, so malware that merely sleeps before detonating is no longer covered."
A047,0,B only swaps one citation's label for another with no wording change to the behavior.
A048,1,"B reframes the opening to foreground rogue Domain Controller registration with DCShadow as one method, but the described mechanism of registering nTDSDSA objects is identical."
A049,2,"B generalizes rule creation from named clients to any email client or CLI and adds hiding the rule via MAPI manipulation, a concealment behavior A never described."
A050,1,B adds running malicious browser JavaScript to steal session cookies as another instance of the user actions A's social-engineering framing already covered.
A051,0,"B only drops the Detection, Platforms, Data Sources and Requires Network boilerplate and hyperlinks existing terms."
A052,2,"B strips the pst/ost file, Exchange-credential and MailSniper mechanisms and the embedded forwarding-rule section down to a generic parent statement, consistent with content moving to new sub-techniques while the parent still denotes the same email-collection family."
A053,2,"B broadens the object of manipulation from an executable's name or location to any artifact's features and drops the RTLO, metadata and Windows/Linux renaming specifics into a general statement, consistent with a split into sub-techniques that still denotes the same evasion family."
A054,0,B only changes the word attackers to adversaries with no other wording or content change.
